r_m,d
0.668000,0.921420051465
0.669000,0.921170341210
0.670000,0.920920160674
0.671000,0.920669509303
0.672000,0.920418386542
0.673000,0.920166791836
0.674000,0.919914724623
0.675000,0.919662184345
0.676000,0.919409170438
0.677000,0.919155682337
0.678000,0.918901719475
0.679000,0.918647281284
0.680000,0.918392367192
0.681000,0.918136976626
0.682000,0.917881109012
0.683000,0.917624763773
0.684000,0.917367940329
0.685000,0.917110638098
0.686000,0.916852856499
0.687000,0.916594594944
0.688000,0.916335852848
0.689000,0.916076629619
0.690000,0.915816924667
0.691000,0.915556737398
0.692000,0.915296067214
0.693000,0.915034913519
0.694000,0.914773275712
0.695000,0.914511153190
0.696000,0.914248545348
0.697000,0.913985451581
0.698000,0.913721871277
0.699000,0.913457803827
0.700000,0.913193248617
0.701000,0.912928205030
0.702000,0.912662672450
0.703000,0.912396650255
0.704000,0.912130137823
0.705000,0.911863134529
0.706000,0.911595639747
0.707000,0.911327652846
0.708000,0.911059173195
0.709000,0.910790200161
0.710000,0.910520733106
0.711000,0.910250771392
0.712000,0.909980314378
0.713000,0.909709361421
0.714000,0.909437911875
0.715000,0.909165965092
0.716000,0.908893520421
0.717000,0.908620577210
0.718000,0.908347134803
0.719000,0.908073192542
0.720000,0.907798749767
0.721000,0.907523805816
0.722000,0.907248360024
0.723000,0.906972411722
0.724000,0.906695960241
0.725000,0.906419004909
0.726000,0.906141545050
0.727000,0.905863579987
0.728000,0.905585109040
0.729000,0.905306131526
0.730000,0.905026646760
0.731000,0.904746654054
0.732000,0.904466152718
0.733000,0.904185142059
0.734000,0.903903621382
0.735000,0.903621589989
0.736000,0.903339047178
0.737000,0.903055992247
0.738000,0.902772424489
0.739000,0.902488343196
0.740000,0.902203747656
0.741000,0.901918637156
0.742000,0.901633010979
0.743000,0.901346868404
0.744000,0.901060208711
0.745000,0.900773031173
0.746000,0.900485335065
0.747000,0.900197119654
0.748000,0.899908384207
0.749000,0.899619127990
0.750000,0.899329350262
0.751000,0.899039050283
0.752000,0.898748227307
0.753000,0.898456880588
0.754000,0.898165009375
0.755000,0.897872612915
0.756000,0.897579690452
0.757000,0.897286241228
0.758000,0.896992264480
0.759000,0.896697759444
0.760000,0.896402725351
0.761000,0.896107161433
0.762000,0.895811066914
0.763000,0.895514441018
0.764000,0.895217282965
0.765000,0.894919591974
0.766000,0.894621367258
0.767000,0.894322608028
0.768000,0.894023313492
0.769000,0.893723482857
0.770000,0.893423115322
0.771000,0.893122210089
0.772000,0.892820766351
0.773000,0.892518783303
0.774000,0.892216260132
0.775000,0.891913196026
0.776000,0.891609590168
0.777000,0.891305441737
0.778000,0.891000749910
0.779000,0.890695513860
0.780000,0.890389732758
0.781000,0.890083405769
0.782000,0.889776532058
0.783000,0.889469110786
0.784000,0.889161141107
0.785000,0.888852622177
0.786000,0.888543553145
0.787000,0.888233933159
0.788000,0.887923761361
0.789000,0.887613036891
0.790000,0.887301758886
0.791000,0.886989926479
0.792000,0.886677538799
0.793000,0.886364594973
0.794000,0.886051094123
0.795000,0.885737035368
0.796000,0.885422417824
0.797000,0.885107240602
0.798000,0.884791502811
0.799000,0.884475203555
0.800000,0.884158341937
0.801000,0.883840917052
0.802000,0.883522927995
0.803000,0.883204373856
0.804000,0.882885253722
0.805000,0.882565566674
0.806000,0.882245311793
0.807000,0.881924488152
0.808000,0.881603094824
0.809000,0.881281130877
0.810000,0.880958595373
0.811000,0.880635487373
0.812000,0.880311805933
0.813000,0.879987550105
0.814000,0.879662718937
